"","ADED","zipcode"
"1",23001,"11697"
"2",23002,"11697"
"3",23003,"11697"
"4",23004,"11694"
"4.1",23004,"11697"
"5",23017,"11692"
"5.1",23017,"11693"
"6",23005,"11694"
"6.1",23005,"11697"
"7",23006,"11694"
"8",23007,"11694"
"9",23008,"11694"
"10",23009,"11694"
"11",23010,"11694"
"12",23011,"11694"
"13",23018,"11693"
"13.1",23018,"11694"
"14",23019,"11693"
"14.1",23019,"11694"
"15",23012,"11694"
"16",23013,"11694"
"17",23014,"11693"
"17.1",23014,"11694"
"18",23015,"11693"
"19",23016,"11693"
"20",23020,"11693"
"21",23021,"11692"
"22",23028,"11691"
"22.1",23028,"11559"
"23",23029,"11691"
"24",23030,"11691"
"25",24062,"11432"
"26",23022,"11691"
"26.1",23022,"11692"
"27",23031,"11691"
"28",23032,"11691"
"29",23033,"11691"
"30",23045,"11414"
"31",31070,"11413"
"31.1",31070,"11096"
"31.2",31070,"11422"
"31.3",31070,"11430"
"31.4",31070,"11434"
"32",23023,"11691"
"33",23024,"11691"
"34",23025,"11691"
"35",23026,"11691"
"36",23027,"11691"
"36.1",23027,"11559"
"37",28052,"11374"
"38",23034,"11691"
"39",23035,"11691"
"40",23042,"11691"
"41",23043,"11416"
"41.1",23043,"11417"
"42",23044,"11414"
"43",23036,"11691"
"44",23037,"11691"
"45",23038,"11691"
"45.1",23038,"11692"
"46",23039,"11691"
"46.1",23039,"11559"
"47",23040,"11693"
"48",23041,"11693"
"49",59050,"11234"
"50",23046,"11414"
"51",23047,"11414"
"52",23048,"11414"
"53",23049,"11414"
"54",23052,"11414"
"54.1",23052,"11417"
"54.2",23052,"11420"
"55",23053,"11414"
"55.1",23053,"11417"
"55.2",23053,"11420"
"56",23054,"11417"
"57",23055,"11416"
"57.1",23055,"11417"
"58",23056,"11416"
"58.1",23056,"11417"
"59",75081,"10019"
"59.1",75081,"10036"
"60",23050,"11414"
"60.1",23050,"11430"
"61",23051,"11414"
"62",28053,"11374"
"63",23057,"11417"
"64",23058,"11414"
"64.1",23058,"11417"
"65",23059,"11416"
"65.1",23059,"11417"
"66",23060,"11414"
"66.1",23060,"11208"
"66.2",23060,"11417"
"67",23061,"11414"
"67.1",23061,"11208"
"68",23062,"11414"
"69",23063,"11414"
"70",23064,"11414"
"71",23065,"11414"
"71.1",23065,"11208"
"72",23066,"11414"
"72.1",23066,"11208"
"72.2",23066,"11417"
"73",23067,"11208"
"73.1",23067,"11416"
"73.2",23067,"11417"
"74",23068,"11416"
"74.1",23068,"11417"
"75",23069,"11416"
"75.1",23069,"11417"
"76",23070,"11417"
"76.1",23070,"11420"
"77",23071,"11692"
"78",23073,NA
"79",23077,"11414"
"79.1",23077,"11430"
"80",23078,"11414"
"80.1",23078,"11430"
"81",23079,"11414"
"81.1",23079,"11430"
"82",23080,"11693"
"83",23081,"11693"
"84",23088,"11691"
"85",23089,"11417"
"86",23082,"11693"
"87",23084,"11414"
"87.1",23084,"11208"
"88",23085,"11693"
"88.1",23085,"11694"
"89",23086,"11692"
"89.1",23086,"11693"
"90",23087,"11693"
"91",23090,"11414"
"92",31007,"11420"
"93",23091,"11417"
"93.1",23091,"11420"
"94",23092,"11694"
"95",23093,"11414"
"96",24001,"11362"
"96.1",24001,"11004"
"96.2",24001,"11426"
"97",24002,"11004"
"97.1",24002,"11426"
"98",24003,"11004"
"99",24004,"11004"
"99.1",24004,"11426"
"100",24005,"11426"
"101",24006,"11004"
"102",36022,"11103"
"103",24007,"11004"
"103.1",24007,"11426"
"104",24008,"11426"
"104.1",24008,"11427"
"105",24009,"11362"
"105.1",24009,"11426"
"105.2",24009,"11427"
"106",24010,"11426"
"106.1",24010,"11427"
"107",24011,"11427"
"108",24012,"11427"
"108.1",24012,"11428"
"109",24013,"11427"
"110",24014,"11427"
"110.1",24014,"11428"
"111",24015,"11362"
"111.1",24015,"11004"
"111.2",24015,"11426"
"112",36023,"11103"
"113",24016,"11362"
"113.1",24016,"11364"
"114",24017,"11364"
"115",24018,"11362"
"115.1",24018,"11364"
"116",24019,"11362"
"116.1",24019,"11364"
"116.2",24019,"11427"
"117",24020,"11364"
"118",24021,"11364"
"119",24022,"11364"
"119.1",24022,"11427"
"120",24023,"11364"
"121",24024,"11364"
"121.1",24024,"11427"
"122",24052,"11432"
"123",75082,"10019"
"123.1",75082,"10036"
"124",24025,"11364"
"124.1",24025,"11365"
"124.2",24025,"11366"
"124.3",24025,"11423"
"124.4",24025,"11427"
"124.5",24025,"11432"
"125",24026,"11418"
"126",24027,"11366"
"126.1",24027,"11423"
"126.2",24027,"11427"
"127",24030,"11423"
"127.1",24030,"11427"
"128",24046,"11435"
"129",24028,"11366"
"129.1",24028,"11423"
"129.2",24028,"11427"
"129.3",24028,"11432"
"130",24029,"11423"
"130.1",24029,"11427"
"131",24047,"11432"
"131.1",24047,"11435"
"132",24048,"11435"
"133",76039,"10075"
"134",24031,"11423"
"134.1",24031,"11432"
"135",24032,"11366"
"135.1",24032,"11423"
"135.2",24032,"11432"
"136",24033,"11366"
"136.1",24033,"11423"
"136.2",24033,"11432"
"137",24034,"11366"
"137.1",24034,"11423"
"137.2",24034,"11432"
"138",24049,"11367"
"138.1",24049,"11432"
"138.2",24049,"11435"
"139",24061,"11427"
"140",24035,"11423"
"140.1",24035,"11432"
"141",24036,"11432"
"142",24037,"11423"
"142.1",24037,"11432"
"143",24038,"11423"
"143.1",24038,"11432"
"144",24039,"11366"
"144.1",24039,"11432"
"145",24050,"11432"
"145.1",24050,"11435"
"146",36024,"11103"
"147",24040,"11432"
"148",24041,"11432"
"149",24042,"11432"
"149.1",24042,"11435"
"150",24043,"11432"
"151",24044,"11432"
"152",24045,"11432"
"152.1",24045,"11435"
"153",24051,"11432"
"153.1",24051,"11435"
"154",36025,"11103"
"155",24053,"11432"
"155.1",24053,"11435"
"156",24054,"11432"
"157",24055,"11432"
"158",24056,"11432"
"159",24057,"11432"
"160",24058,"11432"
"161",24059,"11427"
"162",24060,"11435"
"163",24063,"11419"
"163.1",24063,"11420"
"164",24064,"11418"
"164.1",24064,"11419"
"165",24065,"11418"
"165.1",24065,"11435"
"166",24066,"11418"
"167",24067,"11435"
"168",24068,"11418"
"169",24069,"11418"
"170",24070,"11418"
"170.1",24070,"11419"
"171",24071,"11418"
"171.1",24071,"11419"
"172",24072,"11419"
"173",24073,"11419"
"174",24074,"11419"
"174.1",24074,"11420"
"175",24075,"11419"
"176",24076,"11419"
"177",76040,"10075"
"178",24077,"11419"
"179",24078,"11435"
"180",24079,"11418"
"180.1",24079,"11419"
"181",24080,"11364"
"181.1",24080,"11366"
"181.2",24080,"11427"
"182",24081,"11435"
"183",24082,"11418"
"183.1",24082,"11435"
"184",24083,"11362"
"184.1",24083,"11364"
"184.2",24083,"11427"
"185",24084,"11362"
"185.1",24084,"11364"
"186",24085,"11432"
"186.1",24085,"11435"
"187",24086,"11435"
"188",25003,"11366"
"188.1",25003,"11367"
"188.2",25003,"11432"
"188.3",25003,"11435"
"189",24087,"11418"
"190",24088,"11418"
"190.1",24088,"11419"
"191",24089,"11364"
"191.1",24089,"11427"
"192",24090,"11423"
"192.1",24090,"11432"
"193",24091,"11423"
"193.1",24091,"11427"
"194",25001,"11367"
"194.1",25001,"11435"
"195",25002,"11367"
"195.1",25002,"11435"
"196",40039,"11354"
"196.1",40039,"11355"
"197",25004,"11366"
"197.1",25004,"11367"
"197.2",25004,"11432"
"198",25005,"11366"
"198.1",25005,"11432"
"199",25006,"11366"
"199.1",25006,"11367"
"200",25007,"11366"
"200.1",25007,"11367"
"201",25008,"11366"
"201.1",25008,"11432"
"202",25009,"11366"
"202.1",25009,"11432"
"203",25010,"11365"
"203.1",25010,"11366"
"204",25011,"11365"
"204.1",25011,"11366"
"204.2",25011,"11432"
"205",25012,"11365"
"206",25013,"11365"
"206.1",25013,"11366"
"207",25014,"11365"
"207.1",25014,"11366"
"207.2",25014,"11432"
"208",25015,"11365"
"208.1",25015,"11366"
"208.2",25015,"11423"
"208.3",25015,"11432"
"209",42033,"11218"
"210",25016,"11364"
"210.1",25016,"11365"
"210.2",25016,"11366"
"210.3",25016,"11427"
"211",25017,"11365"
"211.1",25017,"11366"
"211.2",25017,"11423"
"212",25018,"11365"
"212.1",25018,"11366"
"213",25019,"11365"
"214",25020,"11364"
"214.1",25020,"11365"
"215",25021,"11364"
"216",31071,"11693"
"217",25022,"11364"
"218",25023,"11364"
"219",25024,"11362"
"219.1",25024,"11364"
"220",25025,"11362"
"221",25026,"11364"
"222",25027,"11364"
"223",25028,"11361"
"223.1",25028,"11364"
"224",25029,"11361"
"224.1",25029,"11364"
"225",25030,"11361"
"225.1",25030,"11364"
"226",25031,"11361"
"226.1",25031,"11364"
"227",25032,"11361"
"227.1",25032,"11364"
"228",31072,"11692"
"229",25033,"11358"
"229.1",25033,"11361"
"229.2",25033,"11364"
"230",25034,"11361"
"231",25035,"11364"
"231.1",25035,"11365"
"232",25036,"11358"
"232.1",25036,"11361"
"232.2",25036,"11364"
"232.3",25036,"11365"
"233",25037,"11358"
"233.1",25037,"11364"
"233.2",25037,"11365"
"234",25038,"11358"
"234.1",25038,"11365"
"235",25039,"11358"
"235.1",25039,"11365"
"236",25040,"11358"
"236.1",25040,"11365"
"237",25047,"11355"
"237.1",25047,"11367"
"238",25077,"11364"
"239",37052,"11385"
"240",25041,"11355"
"240.1",25041,"11358"
"240.2",25041,"11365"
"241",25042,"11364"
"241.1",25042,"11365"
"242",25043,"11365"
"243",25044,"11355"
"243.1",25044,"11365"
"243.2",25044,"11367"
"244",25045,"11355"
"244.1",25045,"11365"
"244.2",25045,"11367"
"245",25046,"11355"
"245.1",25046,"11365"
"246",25065,"11364"
"247",25048,"11355"
"247.1",25048,"11367"
"247.2",25048,"11368"
"248",25049,"11355"
"248.1",25049,"11368"
"249",25050,"11355"
"249.1",25050,"11368"
"250",25051,"11355"
"251",25052,"11355"
"252",25053,"11355"
"253",25054,"11355"
"254",25055,"11355"
"255",25056,"11355"
"255.1",25056,"11365"
"256",25057,"11355"
"256.1",25057,"11358"
"256.2",25057,"11365"
"257",25066,"11364"
"258",25078,"11358"
"258.1",25078,"11361"
"259",25058,"11362"
"260",25059,"11365"
"261",25060,"11365"
"262",25061,"11365"
"263",25062,"11365"
"263.1",25062,"11367"
"264",25063,"11367"
"265",25064,"11367"
"266",25067,"11362"
"266.1",25067,"11364"
"267",25068,"11355"
"267.1",25068,"11368"
"268",25069,"11367"
"269",25070,"11366"
"269.1",25070,"11367"
"270",25071,"11365"
"271",25072,"11364"
"272",25073,"11358"
"272.1",25073,"11365"
"273",25074,"11355"
"274",25075,"11365"
"274.1",25075,"11366"
"274.2",25075,"11423"
"275",25076,"11365"
"275.1",25076,"11366"
